formation_date,group,t,CAR
2013-01-31,Loser,1,-0.005744462334140574
2013-01-31,Winner,2,-0.0283975866579175
2013-01-31,Loser,2,0.016629863890713758
2013-01-31,Winner,3,-0.0300750219963712
2013-01-31,Loser,3,0.037155917210254054
2013-01-31,Winner,4,-0.005788322070976639
2013-01-31,Loser,4,0.06701988993160352
2013-01-31,Winner,5,-0.02910526870833038
2013-01-31,Loser,5,0.08028334460006002
2013-01-31,Winner,6,-0.02275105300808069
2013-01-31,Loser,6,0.06730812560926314
2013-01-31,Winner,7,-0.018485064775006665
2013-01-31,Loser,7,0.06797728578698282
2013-01-31,Winner,8,0.02181368269846709
2013-01-31,Loser,8,0.06272283926671059
2013-01-31,Winner,9,0.01821113461843733
2013-01-31,Loser,9,0.07058008880052784
2013-01-31,Winner,10,0.023080117205832112
2013-01-31,Loser,10,0.08134052044969306
2013-01-31,Winner,11,0.023546196436283987
2013-01-31,Loser,11,0.07011580445782827
2013-01-31,Winner,12,0.030871218062528624
2013-01-31,Loser,12,0.07392613508373862
2013-01-31,Winner,13,0.044188824402277255
2013-01-31,Loser,13,0.06598086996676565
2013-01-31,Winner,14,0.025189488630512253
2013-01-31,Loser,14,0.10301869424817936
2013-01-31,Winner,15,0.00796375993497881
2013-01-31,Loser,15,0.10914122057558401
2013-01-31,Winner,16,0.014357452339852684
2013-01-31,Loser,16,0.1001968476842404
2013-01-31,Winner,17,0.0057856582457273585
2013-01-31,Loser,17,0.1125932658150271
2013-01-31,Winner,18,0.009533167264884996
2013-01-31,Loser,18,0.10640193368962199
2013-01-31,Winner,19,0.01795043168588362
2013-01-31,Loser,19,0.11029340703132667
2013-01-31,Winner,20,0.01323592067207314
2013-01-31,Loser,20,0.11553432747165271
2013-01-31,Winner,21,0.017487529911544668
2013-01-31,Loser,21,0.08470880622345511
2013-01-31,Winner,22,0.020393251701276864
2013-01-31,Loser,22,0.07738842392515159
2013-01-31,Winner,23,0.022966926190785785
2013-01-31,Loser,23,0.08241365767173672
2013-01-31,Winner,24,0.03282957572356847
2013-01-31,Loser,24,0.07921172355671627
2013-01-31,Winner,25,0.049799049360882496
2013-01-31,Loser,25,0.08632871146489848
2013-01-31,Winner,26,0.052513976419558586
2013-01-31,Loser,26,0.06700622235347893
2013-01-31,Winner,27,0.07157755878685489
2013-01-31,Loser,27,0.08268229172663753
2013-01-31,Winner,28,0.07181817998509299
2013-01-31,Loser,28,0.07944488441037471
2013-01-31,Winner,29,0.0948484006275723
2013-01-31,Loser,29,0.056508119403180804
2013-01-31,Winner,30,0.10826979043358238
2013-01-31,Loser,30,0.032237798650479
2013-01-31,Winner,31,0.10034787281772843
2013-01-31,Loser,31,0.041294953321104805
2013-01-31,Winner,32,0.06985374164827246
2013-01-31,Loser,32,0.028822104915667307
2013-01-31,Winner,33,0.07437721816224145
2013-01-31,Loser,33,0.04010050575482062
2013-01-31,Winner,34,0.06351415737269114
2013-01-31,Loser,34,0.03857630401913306
2013-01-31,Winner,35,0.05471950671902941
2013-01-31,Loser,35,0.0442110229107977
2013-01-31,Winner,36,0.03692041202815993
2013-01-31,Loser,36,0.029606330248794655
2016-01-31,Winner,1,-0.011431287163314728
2016-01-31,Loser,1,0.03393406894226081
2016-01-31,Winner,2,-0.029756994526609827
2016-01-31,Loser,2,0.06348642003283152
2016-01-31,Winner,3,-0.04769271036943638
2016-01-31,Loser,3,0.11979108673707994
2016-01-31,Winner,4,-0.029453406217851936
2016-01-31,Loser,4,0.10984652893412641
2016-01-31,Winner,5,-0.03518128664323726
2016-01-31,Loser,5,0.10714898313413991
2016-01-31,Winner,6,-0.040049549812689725
2016-01-31,Loser,6,0.10581144934041584
2016-01-31,Winner,7,-0.05010477157709381
2016-01-31,Loser,7,0.11296606897469785
2016-01-31,Winner,8,-0.024344662607923045
2016-01-31,Loser,8,0.123404658421025
2016-01-31,Winner,9,-0.01534938097482184
2016-01-31,Loser,9,0.11466193719664154
2016-01-31,Winner,10,-0.039926680324840376
2016-01-31,Loser,10,0.16264303271172223
2016-01-31,Winner,11,-0.05172036453661441
2016-01-31,Loser,11,0.15042602495880014
2016-01-31,Winner,12,-0.019056724630189044
2016-01-31,Loser,12,0.15242964863666253
2016-01-31,Winner,13,-0.02486014698276619
2016-01-31,Loser,13,0.11440967259322722
2016-01-31,Winner,14,-0.03062061684696889
2016-01-31,Loser,14,0.11736828768272019
2016-01-31,Winner,15,-0.02034474559485814
2016-01-31,Loser,15,0.08724822597513217
2016-01-31,Winner,16,0.009290759412815923
2016-01-31,Loser,16,0.0420817430969131
2016-01-31,Winner,17,0.0031342214862220834
2016-01-31,Loser,17,0.048756356955994416
2016-01-31,Winner,18,0.013272951293917451
2016-01-31,Loser,18,0.06074888088360153
2016-01-31,Winner,19,0.033900825344151994
2016-01-31,Loser,19,0.03215862712018123
2016-01-31,Winner,20,0.01183134399271594
